municipio;data;populacaoTCU2019; casos ;obitos
Belo Horizonte;12/09/2020;2512070;275;7
Belo Horizonte;13/09/2020;2512070;0;16
Belo Horizonte;14/09/2020;2512070;479;0
Belo Horizonte;15/09/2020;2512070;199;7
Belo Horizonte;16/09/2020;2512070;365;9
Belo Horizonte;17/09/2020;2512070;463;8
Belo Horizonte;18/09/2020;2512070;349;9
Belo Horizonte;19/09/2020;2512070;343;5
Belo Horizonte;20/09/2020;2512070;15;9
Belo Horizonte;21/09/2020;2512070;4;0
Belo Horizonte;22/09/2020;2512070;39;0
Belo Horizonte;23/09/2020;2512070;88;5
Belo Horizonte;24/09/2020;2512070;71;19
Belo Horizonte;25/09/2020;2512070;1553;8
Belo Horizonte;26/09/2020;2512070;0;22
Belo Horizonte;27/09/2020;2512070;243;11
Belo Horizonte;28/09/2020;2512070;285;0
Belo Horizonte;29/09/2020;2512070;124;-2
Belo Horizonte;30/09/2020;2512070;493;13
Belo Horizonte;01/10/2020;2512070;162;13
Belo Horizonte;02/10/2020;2512070;261;14
Belo Horizonte;03/10/2020;2512070;216;6
Belo Horizonte;04/10/2020;2512070;188;11
Belo Horizonte;05/10/2020;2512070;90;0
Belo Horizonte;06/10/2020;2512070;151;2
Belo Horizonte;07/10/2020;2512070;239;12
Belo Horizonte;08/10/2020;2512070;0;20
Belo Horizonte;09/10/2020;2512070;584;9
Belo Horizonte;10/10/2020;2512070;227;10
Belo Horizonte;11/10/2020;2512070;281;20
Belo Horizonte;12/10/2020;2512070;0;0
Belo Horizonte;13/10/2020;2512070;87;0
Belo Horizonte;14/10/2020;2512070;134;0
Belo Horizonte;15/10/2020;2512070;264;12
Belo Horizonte;16/10/2020;2512070;317;19
Belo Horizonte;17/10/2020;2512070;283;6
Belo Horizonte;18/10/2020;2512070;238;7
Belo Horizonte;19/10/2020;2512070;0;0
Belo Horizonte;20/10/2020;2512070;213;-1
Belo Horizonte;21/10/2020;2512070;311;10
Belo Horizonte;22/10/2020;2512070;225;12
Belo Horizonte;23/10/2020;2512070;0;8
Belo Horizonte;24/10/2020;2512070;0;11
Belo Horizonte;25/10/2020;2512070;430;5
Belo Horizonte;26/10/2020;2512070;0;0
Belo Horizonte;27/10/2020;2512070;374;-1
Belo Horizonte;28/10/2020;2512070;244;17
Belo Horizonte;29/10/2020;2512070;187;6
Belo Horizonte;30/10/2020;2512070;181;1
Belo Horizonte;31/10/2020;2512070;216;12
Belo Horizonte;01/11/2020;2512070;0;9
Belo Horizonte;02/11/2020;2512070;206;0
Belo Horizonte;03/11/2020;2512070;27;0
Belo Horizonte;04/11/2020;2512070;135;1
Belo Horizonte;05/11/2020;2512070;183;11
Belo Horizonte;06/11/2020;2512070;148;15
Belo Horizonte;07/11/2020;2512070;248;0
Belo Horizonte;08/11/2020;2512070;249;0
Belo Horizonte;09/11/2020;2512070;76;0
Belo Horizonte;10/11/2020;2512070;61;0
Belo Horizonte;11/11/2020;2512070;191;0
Belo Horizonte;12/11/2020;2512070;215;14
Belo Horizonte;13/11/2020;2512070;325;19
Belo Horizonte;14/11/2020;2512070;184;14
Belo Horizonte;15/11/2020;2512070;0;0
Belo Horizonte;16/11/2020;2512070;0;0
Belo Horizonte;17/11/2020;2512070;607;1
Belo Horizonte;18/11/2020;2512070;300;14
Belo Horizonte;19/11/2020;2512070;308;9
Belo Horizonte;20/11/2020;2512070;279;7
Belo Horizonte;21/11/2020;2512070;271;11
Belo Horizonte;22/11/2020;2512070;0;9
Belo Horizonte;23/11/2020;2512070;383;0
Belo Horizonte;24/11/2020;2512070;135;-4
Belo Horizonte;25/11/2020;2512070;245;5
Belo Horizonte;26/11/2020;2512070;222;4
Belo Horizonte;27/11/2020;2512070;288;11
Belo Horizonte;28/11/2020;2512070;0;8
Belo Horizonte;29/11/2020;2512070;0;6
Belo Horizonte;30/11/2020;2512070;0;0
Belo Horizonte;01/12/2020;2512070;788;1
Belo Horizonte;02/12/2020;2512070;341;11
Belo Horizonte;03/12/2020;2512070;285;7
Belo Horizonte;04/12/2020;2512070;339;7
Belo Horizonte;05/12/2020;2512070;332;11
Belo Horizonte;06/12/2020;2512070;246;11
Belo Horizonte;07/12/2020;2512070;0;0
Belo Horizonte;08/12/2020;2512070;150;0
Belo Horizonte;09/12/2020;2512070;0;1
Belo Horizonte;10/12/2020;2512070;0;4
Belo Horizonte;11/12/2020;2512070;842;19
Belo Horizonte;12/12/2020;2512070;382;13
Belo Horizonte;13/12/2020;2512070;226;6
Belo Horizonte;14/12/2020;2512070;29;0
Belo Horizonte;15/12/2020;2512070;144;0
Belo Horizonte;16/12/2020;2512070;271;12
Belo Horizonte;17/12/2020;2512070;411;8
Belo Horizonte;18/12/2020;2512070;376;12
Belo Horizonte;19/12/2020;2512070;354;8
Belo Horizonte;20/12/2020;2512070;296;8
Belo Horizonte;21/12/2020;2512070;152;0
Belo Horizonte;22/12/2020;2512070;215;0
Belo Horizonte;23/12/2020;2512070;463;12
Belo Horizonte;24/12/2020;2512070;370;25
Belo Horizonte;25/12/2020;2512070;292;8
Belo Horizonte;26/12/2020;2512070;236;5
Belo Horizonte;27/12/2020;2512070;181;0
Belo Horizonte;28/12/2020;2512070;254;0
Belo Horizonte;29/12/2020;2512070;225;1
Belo Horizonte;30/12/2020;2512070;461;14
Belo Horizonte;31/12/2020;2512070;604;4
Belo Horizonte;01/01/2021;2512070;497;19
Belo Horizonte;02/01/2021;2512070;0;5
Belo Horizonte;03/01/2021;2512070;0;7
Belo Horizonte;04/01/2021;2512070;0;6
Belo Horizonte;05/01/2021;2512070;1143;0
Belo Horizonte;06/01/2021;2512070;611;6
Belo Horizonte;07/01/2021;2512070;707;15
Belo Horizonte;08/01/2021;2512070;1068;7
